,title,genre,overview,cast,director,lang,comp
0,Kingsman: The Golden Circle,"Action, Adventure, Comedy","After the Kingsman's headquarters are destroyed and the world is held hostage, an allied spy organisation in the United States is discovered. These two elite secret organisations must band together to defeat a common enemy.",Taron Egerton Colin Firth Mark Strong Channing Tatum,Matthew Vaughn,en,unknown
1,Blade Runner 2049,"Action, Drama, Mystery","Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",Harrison Ford Ryan Gosling Ana de Armas Dave Bautista,Denis Villeneuve,en,unknown
2,Dunkirk,"Action, Drama, History","Allied soldiers from Belgium, the British Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.",Fionn Whitehead Barry Keoghan Mark Rylance Tom Hardy,Christopher Nolan,en,unknown
3,Thor: Ragnarok,"Action, Adventure, Comedy","Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",Chris Hemsworth Tom Hiddleston Cate Blanchett Mark Ruffalo,Taika Waititi,en,unknown
4,It,Horror,"In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.",Bill Skarsgård Jaeden Martell Finn Wolfhard Sophia Lillis,Andy Muschietti,en,unknown
5,Beauty and the Beast,"Family, Fantasy, Musical","A selfish Prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner.",Emma Watson Dan Stevens Luke Evans Josh Gad,Bill Condon,en,unknown
6,Justice League,"Action, Adventure, Fantasy","Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne enlists the help of his new-found ally, Diana Prince, to face an even greater enemy.",Ben Affleck Gal Gadot Jason Momoa Ezra Miller,Zack Snyder,en,unknown
7,Get Out,"Horror, Mystery, Thriller","A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",Daniel Kaluuya Allison Williams Bradley Whitford Catherine Keener,Jordan Peele,en,unknown
8,Jumanji: Welcome to the Jungle,"Action, Adventure, Comedy","Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.",Dwayne Johnson Karen Gillan Kevin Hart Jack Black,Jake Kasdan,en,unknown
9,Good Time,"Crime, Drama, Thriller","After a botched bank robbery lands his younger brother in prison, Connie Nikas embarks on a twisted odyssey through New York City's underworld to get his brother Nick out of jail.",Josh Safdie Robert Pattinson Benny Safdie Jennifer Jason Leigh Buddy Duress,Benny Safdie,en,unknown
10,Spider-Man: Homecoming,"Action, Adventure, Sci-Fi","Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City.",Tom Holland Michael Keaton Robert Downey Jr. Marisa Tomei,Jon Watts,en,unknown
11,Guardians of the Galaxy Vol. 2,"Action, Adventure, Comedy","The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego.",Chris Pratt Zoe Saldana Dave Bautista Vin Diesel,James Gunn,en,unknown
12,All the Money in the World,"Biography, Crime, Drama",The story of the kidnapping of 16-year-old John Paul Getty III and the desperate attempt by his devoted mother to convince his billionaire grandfather Jean Paul Getty to pay the ransom.,Michelle Williams Christopher Plummer Mark Wahlberg Romain Duris,Ridley Scott,en,unknown
13,Baby Driver,"Action, Crime, Music","After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",Ansel Elgort Jon Bernthal Jon Hamm Eiza González,Edgar Wright,en,unknown
14,Jungle,"Action, Adventure, Biography","A group of friends join a guide for a trek into the Bolivian jungle, searching for an Indian village. The men soon realize that the jungle is a difficult place to be.",Daniel Radcliffe Thomas Kretschmann Joel Jackson Yasmin Kassim,Greg McLean,en,unknown
15,Wonder Woman,"Action, Adventure, Fantasy","When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.",Gal Gadot Chris Pine Robin Wright Lucy Davis,Patty Jenkins,en,unknown
16,Logan Lucky,"Comedy, Crime, Drama",Two brothers attempt to pull off a heist during a NASCAR race in North Carolina.,Channing Tatum Adam Driver Daniel Craig Farrah Mackenzie,Steven Soderbergh,en,unknown
17,Logan,"Action, Drama, Sci-Fi","In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",Hugh Jackman Patrick Stewart Dafne Keen Boyd Holbrook,James Mangold,en,unknown
18,Valerian and the City of a Thousand Planets,"Action, Adventure, Fantasy","A dark force threatens Alpha, a vast metropolis and home to species from a thousand planets. Special operatives Valerian and Laureline must race to identify the marauding menace and safeguard not just Alpha, but the future of the universe.",Dane DeHaan Cara Delevingne Clive Owen Rihanna,Luc Besson,en,unknown
19,Pirates of the Caribbean: Dead Men Tell No Tales,"Action, Adventure, Fantasy",Captain Jack Sparrow is pursued by old rival Captain Salazar and a crew of deadly ghosts who have escaped from the Devil's Triangle. They're determined to kill every pirate at sea...notably Jack.,Espen Sandberg Johnny Depp Geoffrey Rush Javier Bardem Orlando Bloom,Joachim Rønning,en,unknown
20,Alien: Covenant,"Horror, Sci-Fi, Thriller","The crew of a colony ship, bound for a remote planet, discover an uncharted paradise with a threat beyond their imagination, and must attempt a harrowing escape.",Michael Fassbender Katherine Waterston Billy Crudup Danny McBride,Ridley Scott,en,unknown
21,Coco,"Animation, Adventure, Family","Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",Adrian Molina Anthony Gonzalez Gael García Bernal Benjamin Bratt Alanna Ubach,Lee Unkrich,en,unknown
22,Molly's Game,"Biography, Crime, Drama","The true story of Molly Bloom, an Olympic-class skier who ran the world's most exclusive high-stakes poker game and became an FBI target.",Jessica Chastain Idris Elba Kevin Costner Michael Cera,Aaron Sorkin,en,unknown
23,Baywatch,"Action, Comedy, Crime","Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit, as they uncover a criminal plot that threatens the future of the bay.",Dwayne Johnson Zac Efron Alexandra Daddario Priyanka Chopra,Seth Gordon,en,unknown
24,Marshall,"Biography, Crime, Drama","The story of Thurgood Marshall, the crusading lawyer who would become the first African-American Supreme Court Justice, as he battles through one of his career-defining cases.",Chadwick Boseman Josh Gad Kate Hudson Sterling K. Brown,Reginald Hudlin,en,unknown
25,Star Wars: Episode VIII - The Last Jedi,"Action, Adventure, Fantasy","Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares for battle with the First Order.",Daisy Ridley John Boyega Mark Hamill Carrie Fisher,Rian Johnson,en,unknown
26,Pitch Perfect 3,"Comedy, Music","Following their win at the world championship, the now separated Bellas reunite for one last singing competition at an overseas USO tour, but face a group who uses both instruments and voices.",Anna Kendrick Rebel Wilson Brittany Snow Anna Camp,Trish Sie,en,unknown
27,Mother!,"Drama, Horror, Mystery","A couple's relationship is tested when uninvited guests arrive at their home, disrupting their tranquil existence.",Jennifer Lawrence Javier Bardem Ed Harris Michelle Pfeiffer,Darren Aronofsky,en,unknown
28,Kong: Skull Island,"Action, Adventure, Fantasy","After the Vietnam war, a team of scientists explores an uncharted island in the Pacific, venturing into the domain of the mighty Kong, and must fight to escape a primal Eden.",Tom Hiddleston Samuel L. Jackson Brie Larson John C. Reilly,Jordan Vogt-Roberts,en,unknown
29,The Fate of the Furious,"Action, Adventure, Crime","When a mysterious woman seduces Dominic Toretto into the world of terrorism and a betrayal of those closest to him, the crew face trials that will test them as never before.",Vin Diesel Jason Statham Dwayne Johnson Michelle Rodriguez,F. Gary Gray,en,unknown
30,The Mummy,"Action, Adventure, Fantasy","An ancient Egyptian princess is awakened from her crypt beneath the desert, bringing with her malevolence grown over millennia, and terrors that defy human comprehension.",Tom Cruise Sofia Boutella Annabelle Wallis Russell Crowe,Alex Kurtzman,en,unknown
31,Transformers: The Last Knight,"Action, Adventure, Sci-Fi","A deadly threat from Earth's history reappears and a hunt for a lost artifact takes place between Autobots and Decepticons, while Optimus Prime encounters his creator in space.",Mark Wahlberg Anthony Hopkins Josh Duhamel Laura Haddock,Michael Bay,en,unknown
32,The Dark Tower,"Action, Adventure, Fantasy",A boy haunted by visions of a dark tower from a parallel reality teams up with the tower's disillusioned guardian to stop an evil warlock known as the Man in Black who plans to use the boy to destroy the tower and open the gates of Hell.,Idris Elba Matthew McConaughey Tom Taylor Dennis Haysbert,Nikolaj Arcel,en,unknown
33,Life,"Horror, Sci-Fi, Thriller",A team of scientists aboard the International Space Station discover a rapidly evolving life form that caused extinction on Mars and now threatens all life on Earth.,Jake Gyllenhaal Rebecca Ferguson Ryan Reynolds Hiroyuki Sanada,Daniel Espinosa,en,unknown
34,John Wick: Chapter 2,"Action, Crime, Thriller","After returning to the criminal underworld to repay a debt, John Wick discovers that a large bounty has been put on his life.",Keanu Reeves Riccardo Scamarcio Ian McShane Ruby Rose,Chad Stahelski,en,unknown
35,"I, Tonya","Biography, Comedy, Drama","Competitive ice skater Tonya Harding rises amongst the ranks at the U.S. Figure Skating Championships, but her future in the activity is thrown into doubt when her ex-husband intervenes.",Margot Robbie Sebastian Stan Allison Janney Julianne Nicholson,Craig Gillespie,en,unknown
36,Fifty Shades Darker,"Drama, Romance","While Christian wrestles with his inner demons, Anastasia must confront the anger and envy of the women who came before her.",Dakota Johnson Jamie Dornan Eric Johnson Eloise Mumford,James Foley,en,unknown
37,Wind River,"Crime, Drama, Mystery",A veteran hunter helps an FBI agent investigate the murder of a young woman on a Wyoming Native American reservation.,Kelsey Asbille Jeremy Renner Julia Jones Teo Briones,Taylor Sheridan,en,unknown
38,Power Rangers,"Action, Adventure, Sci-Fi","A group of high-school students, who are infused with unique superpowers, harness their abilities in order to save the world.",Dacre Montgomery Naomi Scott RJ Cyler Ludi Lin,Dean Israelite,en,unknown
39,King Arthur: Legend of the Sword,"Action, Adventure, Drama","Robbed of his birthright, Arthur comes up the hard way in the back alleys of the city. But once he pulls the sword from the stone, he is forced to acknowledge his true legacy - whether he likes it or not.",Charlie Hunnam Astrid Bergès-Frisbey Jude Law Djimon Hounsou,Guy Ritchie,en,unknown
40,The Disaster Artist,"Biography, Comedy, Drama","When Greg Sestero, an aspiring film actor, meets the weird and mysterious Tommy Wiseau in an acting class, they form a unique friendship and travel to Hollywood to make their dreams come true.",James Franco Dave Franco Ari Graynor Seth Rogen,James Franco,en,unknown
41,Geostorm,"Action, Sci-Fi, Thriller","When the network of satellites designed to control the global climate starts to attack Earth, it's a race against the clock for its creator to uncover the real threat before a worldwide Geostorm wipes out everything and everyone.",Gerard Butler Jim Sturgess Abbie Cornish Alexandra Maria Lara,Dean Devlin,en,unknown
42,Happy Death Day,"Horror, Mystery, Thriller","A college student must relive the day of her murder over and over again, in a loop that will end only when she discovers her killer's identity.",Jessica Rothe Israel Broussard Ruby Modine Charles Aitken,Christopher Landon,en,unknown
43,American Assassin,"Action, Thriller","After the death of his girlfriend at the hands of terrorists, Mitch Rapp is drawn into the world of counterterrorism, mentored by tough-as-nails former U.S. Navy S.E.A.L. Stan Hurley.",Dylan O'Brien Michael Keaton Sanaa Lathan Taylor Kitsch,Michael Cuesta,en,unknown
44,The Circle,"Drama, Sci-Fi, Thriller","A woman lands a dream job at a powerful tech company called the Circle, only to uncover an agenda that will affect the lives of all of humanity.",Emma Watson Tom Hanks John Boyega Ellar Coltrane,James Ponsoldt,en,unknown
45,Atomic Blonde,"Action, Thriller",An undercover MI6 agent is sent to Berlin during the Cold War to investigate the murder of a fellow agent and recover a missing list of double agents.,Charlize Theron James McAvoy John Goodman Eddie Marsan,David Leitch,en,unknown
46,Ghost in the Shell,"Action, Crime, Drama","In the near future, Major Mira Killian is the first of her kind: A human saved from a terrible crash, who is cyber-enhanced to be a perfect soldier devoted to stopping the world's most dangerous criminals.",Scarlett Johansson Pilou Asbæk Takeshi Kitano Juliette Binoche,Rupert Sanders,en,unknown
47,Bright,"Action, Fantasy, Thriller",A detective must work with an Orc to find a powerful wand before evil creatures do.,Will Smith Joel Edgerton Noomi Rapace Edgar Ramírez,David Ayer,en,unknown
48,The Ritual,"Horror, Mystery, Thriller","A group of college friends reunite for a trip to the forest, but encounter a menacing presence in the woods that's stalking them.",Rafe Spall Arsher Ali Robert James-Collier Sam Troughton,David Bruckner,en,unknown
49,The Foreigner,"Action, Thriller","A humble businessman with a buried past seeks justice when his daughter is killed in an act of terrorism. A cat-and-mouse conflict ensues with a government official, whose past may hold clues to the killers' identities.",Katie Leung Jackie Chan Rufus Jones Mark Tandy,Martin Campbell,en,unknown
50,Shot Caller,"Crime, Drama, Thriller",A newly released prisoner is forced by the leaders of his gang to orchestrate a major crime with a brutal rival gang on the streets of Southern California.,Nikolaj Coster-Waldau Omari Hardwick Lake Bell Jon Bernthal,Ric Roman Waugh,en,unknown
51,The Hitman's Bodyguard,"Action, Comedy, Crime","The world's top bodyguard gets a new client, a hitman who must testify at the International Criminal Court. They must put their differences aside and work together to make it to the trial on time.",Ryan Reynolds Samuel L. Jackson Gary Oldman Elodie Yung,Patrick Hughes,en,unknown
52,American Made,"Action, Biography, Comedy","The story of Barry Seal, an American pilot who became a drug-runner for the CIA in the 1980s in a clandestine operation that would be exposed as the Iran-Contra Affair.",Tom Cruise Domhnall Gleeson Sarah Wright Jesse Plemons,Doug Liman,en,unknown
53,Annabelle: Creation,"Horror, Mystery, Thriller","Twelve years after the tragic death of their little girl, a doll-maker and his wife welcome a nun and several girls from a shuttered orphanage into their home, where they become the target of the doll-maker's possessed creation, Annabelle.",Anthony LaPaglia Samara Lee Miranda Otto Brad Greenquist,David F. Sandberg,en,unknown
54,Flatliners,"Drama, Horror, Mystery","Five medical students, obsessed by what lies beyond the confines of life, embark on a daring experiment: by stopping their hearts for short periods, each triggers a near-death experience - giving them a firsthand account of the afterlife.",Ellen Page Diego Luna Nina Dobrev James Norton,Niels Arden Oplev,en,unknown
55,It Comes at Night,"Horror, Mystery","Secure within a desolate home as an unnatural threat terrorizes the world, a man has established a tenuous domestic order with his wife and son. Then a desperate young family arrives seeking refuge.",Joel Edgerton Christopher Abbott Carmen Ejogo Riley Keough,Trey Edward Shults,en,unknown
56,Ferdinand,"Animation, Adventure, Comedy","After Ferdinand, a bull with a big heart, is mistaken for a dangerous beast, he is captured and torn from his home. Determined to return to his family, he rallies a misfit team on the ultimate adventure.",John Cena Kate McKinnon Bobby Cannavale Jack Gore,Carlos Saldanha,en,unknown
57,War for the Planet of the Apes,"Action, Adventure, Drama","After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind.",Andy Serkis Woody Harrelson Steve Zahn Karin Konoval,Matt Reeves,en,unknown
58,Despicable Me 3,"Animation, Adventure, Comedy","Gru meets his long-lost, charming, cheerful, and more successful twin brother Dru, who wants to team up with him for one last criminal heist.",Pierre Coffin Eric Guillon Steve Carell Kristen Wiig Trey Parker Miranda Cosgrove,Kyle Balda,en,unknown
59,A Ghost Story,"Drama, Fantasy, Romance","In this singular exploration of legacy, love, loss, and the enormity of existence, a recently deceased, white-sheeted ghost returns to his suburban home to try to reconnect with his bereft wife.",Casey Affleck Rooney Mara McColm Cephas Jr. Kenneisha Thompson,David Lowery,en,unknown
60,The Boss Baby,"Animation, Adventure, Comedy","A suit-wearing, briefcase-carrying baby pairs up with his 7-year old brother to stop the dastardly plot of the CEO of Puppy Co.",Alec Baldwin Steve Buscemi Jimmy Kimmel Lisa Kudrow,Tom McGrath,en,unknown
61,The Mountain Between Us,"Action, Adventure, Drama","Stranded after a tragic plane crash, two strangers must forge a connection to survive the extreme elements of a remote snow-covered mountain. When they realize help is not coming, they embark on a perilous journey across the wilderness.",Kate Winslet Idris Elba Beau Bridges Dermot Mulroney,Hany Abu-Assad,en,unknown
62,The Snowman,"Crime, Drama, Mystery",Detective Harry Hole investigates the disappearance of a woman whose scarf is found wrapped around an ominous-looking snowman.,Michael Fassbender Rebecca Ferguson Charlotte Gainsbourg Jonas Karlsson,Tomas Alfredson,en,unknown
63,Unlocked,"Action, Drama, Mystery",A CIA interrogator is lured into a ruse that puts London at risk of a biological attack.,Noomi Rapace Orlando Bloom Toni Collette John Malkovich,Michael Apted,en,unknown
64,Jigsaw,"Crime, Horror, Mystery","Bodies are turning up around the city, each having met a uniquely gruesome demise. As the investigation proceeds, evidence points to one suspect: John Kramer, the man known as Jigsaw, who has been dead for over 10 years.",Peter Spierig Matt Passmore Tobin Bell Callum Keith Rennie Hannah Emily Anderson,Michael Spierig,en,unknown
65,The Man with the Iron Heart,"Action, Biography, Thriller","As the German Fascists expand their borders, scorching Europe from end to end, two brave Czechs of the Resistance prepare for a suicide mission to assassinate Reinhard Heydrich, the hideous mastermind behind the ""Final Solution"".",Jason Clarke Rosamund Pike Jack O'Connell Jack Reynor,Cédric Jimenez,en,unknown
66,xXx: Return of Xander Cage,"Action, Adventure, Thriller","Xander Cage is left for dead after an incident, though he secretly returns to action for a new, tough assignment with his handler Augustus Gibbons.",Vin Diesel Donnie Yen Deepika Padukone Kris Wu,D.J. Caruso,en,unknown
67,The Lego Batman Movie,"Animation, Action, Comedy","A cooler-than-ever Bruce Wayne must deal with the usual suspects as they plan to rule Gotham City, while discovering that he has accidentally adopted a teenage orphan who wishes to become his sidekick.",Will Arnett Michael Cera Rosario Dawson Ralph Fiennes,Chris McKay,en,unknown
68,Downsizing,"Drama, Sci-Fi","A social satire in which a man realizes he would have a better life if he were to shrink himself to five inches tall, allowing him to live in wealth and splendor.",Matt Damon Christoph Waltz Hong Chau Kristen Wiig,Alexander Payne,en,unknown
69,Daddy's Home 2,Comedy,"Having finally gotten used to each other's existence, Brad and Dusty must now deal with their intrusive fathers during the holidays.",Will Ferrell Mark Wahlberg Mel Gibson John Lithgow,Sean Anders,en,unknown
70,The Emoji Movie,"Animation, Adventure, Comedy","Gene, a multi-expressional emoji, sets out on a journey to become a normal emoji.",T.J. Miller James Corden Anna Faris Maya Rudolph,Tony Leondis,en,unknown
71,9/11,"Action, Horror, Thriller","Five people find themselves trapped in an elevator during the September 11 attacks. They soon work together, never giving up hope, to try to escape before the unthinkable happens.",Charlie Sheen Gina Gershon Whoopi Goldberg Luis Guzmán,Martin Guigui,en,unknown
72,2:22,"Drama, Mystery, Sci-Fi","A man's life is derailed when an ominous pattern of events repeats itself in exactly the same manner every day, ending at precisely 2:22 p.m.",Michiel Huisman Teresa Palmer Sam Reid John Waters,Paul Currie,en,unknown
73,The Discovery,"Drama, Romance, Sci-Fi","Two years after the afterlife is scientifically proven, a man attempts to help a young woman break away from her dark past.",Robert Redford Mary Steenburgen Brian McCarthy Jason Segel,Charlie McDowell,en,unknown
74,Paddington 2,"Adventure, Comedy, Family","Paddington (Ben Whishaw), now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's (Imelda Staunton's) 100th birthday, only for the gift to be stolen.",Ben Whishaw Hugh Grant Hugh Bonneville Sally Hawkins,Paul King,en,unknown
75,Ingrid Goes West,"Comedy, Drama",An unhinged social media stalker moves to LA and insinuates herself into the life of an Instagram star.,Aubrey Plaza Elizabeth Olsen O'Shea Jackson Jr. Wyatt Russell,Matt Spicer,en,unknown
76,Chips,"Action, Comedy, Crime","A rookie officer is teamed with a hardened pro at the California Highway Patrol, though the newbie soon learns his partner is really an undercover Fed investigating a heist that may involve some crooked cops.",Michael Peña Dax Shepard Vincent D'Onofrio Rosa Salazar,Dax Shepard,en,unknown
77,47 Meters Down,"Adventure, Drama, Horror","Two sisters vacationing in Mexico are trapped in a shark cage at the bottom of the ocean. With less than an hour of oxygen left and great white sharks circling nearby, they must fight to survive.",Mandy Moore Claire Holt Matthew Modine Chris Johnson,Johannes Roberts,en,unknown
78,Rough Night,"Comedy, Crime, Thriller",Things go terribly wrong for a group of girlfriends who hire a male stripper for a bachelorette party in Miami.,Scarlett Johansson Kate McKinnon Zoë Kravitz Ilana Glazer,Lucia Aniello,en,unknown
79,All Eyez on Me,"Biography, Drama, Music","Tells the true and untold story of prolific rapper, actor, poet and activist Tupac Shakur.",Demetrius Shipp Jr. Danai Gurira Kat Graham Annie Ilonzeh,Benny Boom,en,unknown
80,Girls Trip,"Adventure, Comedy, Drama","When four lifelong friends travel to New Orleans for the annual Essence Festival, sisterhoods are rekindled, wild sides are rediscovered, and there's enough dancing, drinking, brawling and romancing to make the Big Easy blush.",Regina Hall Queen Latifah Jada Pinkett Smith Tiffany Haddish,Malcolm D. Lee,en,unknown
81,Once Upon a Time in Venice,"Action, Comedy",A Los Angeles detective seeks out the ruthless gang that stole his dog.,Bruce Willis John Goodman Jason Momoa Emily Robinson,Mark Cullen,en,unknown
82,Smurfs: The Lost Village,"Animation, Adventure, Comedy","In this fully animated, all-new take on the Smurfs, a mysterious map sets Smurfette and her friends Brainy, Clumsy, and Hefty on an exciting race through the Forbidden Forest, leading to the discovery of the biggest secret in Smurf history.",Demi Lovato Rainn Wilson Joe Manganiello Jack McBrayer,Kelly Asbury,en,unknown
83,A Bad Moms Christmas,Comedy,"As their own mothers drop in unexpectedly, our three under-appreciated and over-burdened moms rebel against the challenges and expectations of the Super Bowl for mothers: Christmas.",Scott Moore Mila Kunis Kristen Bell Kathryn Hahn Jay Hernandez,Jon Lucas,en,unknown
84,The Space Between Us,"Drama, Romance, Sci-Fi","The first human born on Mars travels to Earth for the first time, experiencing the wonders of the planet through fresh eyes. He embarks on an adventure with a street-smart girl to discover how he came to be.",Gary Oldman Asa Butterfield Carla Gugino Britt Robertson,Peter Chelsom,en,unknown
85,Going in Style,"Comedy, Crime","Desperate to pay the bills and come through for their loved ones, three lifelong pals risk it all by embarking on a daring bid to knock off the very bank that absconded with their money.",Michael Caine Alan Arkin Ann-Margret Matt Dillon,Zach Braff,en,unknown
86,Goodbye Christopher Robin,"Biography, Drama","The relationship between writer AA Milne and his son, Christopher Robin, and how this became the inspiration for Winnie the Pooh.",Domhnall Gleeson Margot Robbie Kelly Macdonald Vicki Pepperdine,Simon Curtis,en,unknown
87,I Kill Giants,"Drama, Fantasy, Thriller",Barbara Thorson struggles through life by escaping into a fantasy life of magic and monsters.,Madison Wolfe Zoe Saldana Imogen Poots Sydney Wade,Anders Walter,en,unknown
88,Unforgettable,"Drama, Thriller",A woman sets out to make life a living hell for her ex-husband's new fiancée.,Rosario Dawson Katherine Heigl Geoff Stults Isabella Kai,Denise Di Novi,en,unknown
89,Snatched,"Action, Adventure, Comedy","When her boyfriend dumps her before their exotic vacation, a young woman persuades her ultra-cautious mother to travel with her to paradise, with unexpected results.",Amy Schumer Goldie Hawn Kim Caramele Raven Goodwin,Jonathan Levine,en,unknown
90,The Lego Ninjago Movie,"Animation, Action, Adventure","Shunned by everyone for being the son of an evil warlord, a teenager seeks to defeat him with the help of his fellow ninjas.",Paul Fisher Bob Logan Jackie Chan Dave Franco Fred Armisen Kumail Nanjiani,Charlie Bean,en,unknown
91,Last Flag Flying,"Comedy, Drama, War","Thirty years after they served together in Vietnam, a former Navy Corpsman Larry ""Doc"" Shepherd re-unites with his old buddies, former Marines Sal Nealon and Reverend Richard Mueller, to bury his son, a young Marine killed in the Iraq War.",Bryan Cranston Laurence Fishburne Steve Carell J. Quinton Johnson,Richard Linklater,en,unknown
92,Rings,"Drama, Horror, Mystery",A young woman finds herself on the receiving end of a terrifying curse that threatens to take her life in 7 days.,Matilda Anna Ingrid Lutz Alex Roe Johnny Galecki Vincent D'Onofrio,F. Javier Gutiérrez,en,unknown
93,Fist Fight,Comedy,"When one school teacher unwittingly causes another teacher's dismissal, he is challenged to an after-school fight.",Ice Cube Charlie Day Tracy Morgan Christina Hendricks,Richie Keen,en,unknown
94,Megan Leavey,"Biography, Drama, War",Based on the true life story of a young Marine corporal whose unique discipline and bond with her military combat dog saved many lives during their deployment in Iraq.,Kate Mara Ramon Rodriguez Tom Felton Bradley Whitford,Gabriela Cowperthwaite,en,unknown
95,Father Figures,"Comedy, Drama","Upon learning that their mother has been lying to them for years about their allegedly deceased father, two fraternal twin brothers hit the road in order to find him.",Owen Wilson Ed Helms Glenn Close Robert Jon Mello,Lawrence Sher,en,unknown
96,Bullet Head,"Crime, Drama, Thriller",Three career criminals find themselves trapped in a warehouse with the law closing in and an even worse threat waiting inside - a nigh unstoppable killer dog.,Adrien Brody Antonio Banderas John Malkovich Rory Culkin,Paul Solet,en,unknown
97,Rememory,"Drama, Mystery, Sci-Fi","Gordon invents the Rememory machine that allows him to see memories as they actually were. He dies in his office. Is it murder? Sam investigates by using the machine ""borrowed"" from Gordon's wife. He looks at memories of others involved.",Peter Dinklage Matt Ellis Jordana Largy Martin Donovan,Mark Palansky,en,unknown
98,The Vault,"Crime, Horror, Mystery",Two estranged sisters are forced to rob a bank in order to save their brother. But this is no ordinary bank.,James Franco Scott Haze Taryn Manning Francesca Eastwood,Dan Bush,en,unknown
99,November Criminals,"Crime, Drama, Mystery","After his friend is murdered, a Washington, D.C. teenager undertakes his own investigation of the crime.",Ansel Elgort Chloë Grace Moretz David Strathairn Catherine Keener,Sacha Gervasi,en,unknown
